image,label,rt0,rt1,rt2,rt3,rt4,rt5,rt6,rt7,rt8,rt9,rt10,rt11,rt12,rt13,rt14,rt15,rt16,rt17,rt18,rt19,rt20,rt21,rt22,rt23,rt24,rt25,rt26,rt27,rt28,rt29
palo_17.png,2,3,4,4,0,2,0,2,4,2,1,2,1,3,0,2,0,2,4,4,0,4,2,1,3,0,0,4,0,1,2
hank_7.png,0,3,3,2,1,4,4,2,4,4,1,4,1,3,0,4,2,0,4,4,3,4,3,3,2,2,0,0,1,3,3
phuc_48.png,1,1,2,3,0,4,3,4,4,0,3,2,4,0,4,4,0,0,0,2,1,2,4,2,4,1,0,3,2,2,4
palo_83.png,2,1,4,3,2,0,2,2,1,2,4,2,3,1,4,4,4,1,4,2,1,3,2,2,3,2,2,1,3,2,2
phuc_62.png,1,3,3,2,3,1,2,2,2,2,3,0,4,3,2,3,4,1,0,1,4,0,2,1,0,3,4,3,3,1,2
phuc_81.png,1,4,0,4,0,0,4,3,3,1,2,4,1,2,4,2,4,4,3,0,4,3,1,1,1,1,1,0,2,1,1
palo_81.png,2,1,3,3,3,4,4,2,2,3,2,2,0,3,0,1,4,2,3,2,3,4,2,3,3,4,0,2,1,3,2
phuc_53.png,1,4,2,1,2,2,3,0,0,4,2,4,0,1,3,4,3,3,3,4,4,1,2,3,1,3,2,4,2,3,2
hank_19.png,0,2,1,4,3,1,2,2,2,2,2,2,1,0,0,0,0,1,2,0,3,0,2,3,2,1,4,3,2,3,2
palo_73.png,2,2,0,3,1,2,4,3,1,0,1,4,1,3,4,4,4,1,1,0,1,3,2,2,2,4,1,1,2,2,2
palo_29.png,2,4,4,3,1,0,4,1,4,4,2,3,4,4,0,0,1,1,4,4,0,3,2,0,4,4,2,0,3,0,2
hank_16.png,0,1,2,0,1,2,4,4,1,4,3,2,2,4,4,3,1,0,1,0,2,4,3,2,2,4,0,3,2,2,3
phuc_36.png,1,2,2,4,1,4,2,2,1,1,3,3,1,4,2,2,4,1,0,3,4,3,2,3,3,1,2,1,0,3,2
palo_37.png,2,0,1,4,3,1,3,3,0,2,2,4,2,2,2,2,2,3,4,1,4,2,2,2,4,3,0,3,1,2,2
phuc_22.png,1,1,3,0,2,0,0,4,1,3,2,4,3,3,2,2,3,3,0,1,3,0,3,0,0,0,4,0,4,0,3
phuc_37.png,1,3,2,2,1,0,1,1,1,0,3,2,0,0,4,2,4,1,0,3,1,4,4,1,1,1,4,2,2,1,4
palo_51.png,2,3,1,1,4,4,0,4,3,3,4,1,3,2,3,3,3,2,3,2,0,2,2,3,1,0,0,2,3,3,2
palo_31.png,2,3,0,1,4,2,0,3,2,0,0,3,3,3,2,1,1,0,2,2,0,3,0,3,0,2,3,0,4,3,0
palo_65.png,2,0,2,3,4,2,4,3,1,1,0,3,0,3,1,1,0,2,3,4,2,2,2,4,3,4,3,1,3,4,2
phuc_13.png,1,0,1,2,3,4,4,2,1,2,1,4,3,0,1,1,2,4,2,0,2,1,0,1,1,3,2,3,2,1,0
phuc_87.png,1,1,3,4,0,2,2,2,3,2,2,2,4,1,4,3,0,1,4,3,0,1,0,0,2,1,0,4,0,0,0
phuc_71.png,1,4,2,0,2,2,1,2,0,0,0,2,2,4,2,4,0,0,2,2,1,2,0,4,0,0,2,0,4,4,0
phuc_17.png,1,3,0,0,4,2,1,0,0,0,2,4,2,2,0,3,4,2,4,2,1,2,1,0,2,3,4,3,3,0,1
palo_45.png,2,3,2,1,3,4,3,2,3,1,1,0,0,0,4,4,4,3,3,2,1,1,0,4,2,4,3,0,4,4,0
hank_14.png,0,4,4,2,0,3,2,1,1,0,1,4,3,1,3,2,2,2,3,2,1,4,0,3,2,4,1,1,3,3,0
palo_21.png,2,3,1,0,0,3,1,3,4,2,4,4,3,2,3,0,4,0,0,0,0,1,3,2,1,0,2,2,2,2,3
palo_19.png,2,3,0,1,4,4,4,2,3,1,3,2,0,2,2,4,0,3,4,3,1,3,2,1,2,1,2,0,4,1,2
phuc_16.png,1,2,3,2,4,4,4,1,2,2,1,0,2,4,4,3,3,3,0,1,2,2,2,0,2,3,3,4,3,0,2
hank_4.png,0,0,1,0,4,0,0,3,3,4,1,4,4,1,0,0,4,3,1,4,4,1,4,2,2,2,3,0,1,2,4
phuc_38.png,1,4,0,3,0,3,0,1,4,1,2,1,3,2,2,0,3,3,4,3,3,2,1,4,0,3,1,0,3,4,1
phuc_24.png,1,3,1,4,2,3,4,3,4,1,4,4,0,4,3,3,2,3,3,0,1,0,4,4,3,0,3,4,1,4,4
phuc_35.png,1,2,1,4,0,1,1,4,4,0,1,4,1,4,1,2,2,1,3,2,3,1,1,4,4,0,0,4,2,4,1
palo_55.png,2,2,4,1,1,0,3,3,1,3,2,4,0,2,2,4,0,1,1,3,4,4,2,2,0,3,3,2,4,2,2
phuc_42.png,1,3,0,1,3,3,1,2,4,1,0,1,0,3,0,0,2,0,1,1,3,1,0,3,0,3,2,4,3,3,0
palo_67.png,2,1,4,0,4,0,0,0,1,3,1,0,4,2,4,3,3,1,4,3,1,4,1,3,0,4,2,3,3,3,1
palo_47.png,2,3,4,4,1,4,4,2,0,4,4,3,2,3,3,0,3,3,0,1,1,2,1,0,2,2,3,2,0,0,1
phuc_51.png,1,3,1,3,1,1,3,1,3,0,2,2,4,0,4,4,1,1,1,3,4,2,1,4,2,3,1,1,1,4,1
palo_61.png,2,0,1,2,4,1,1,1,2,2,3,1,3,0,4,3,4,3,3,4,1,3,0,0,1,3,1,0,1,0,0
palo_7.png,2,2,1,2,4,4,3,1,3,2,0,0,1,2,4,1,1,3,3,1,4,3,4,0,1,0,2,4,2,0,4
phuc_60.png,1,0,1,3,0,0,0,1,4,4,1,2,4,2,3,2,1,2,0,2,0,4,0,1,2,1,3,1,1,1,0
hank_12.png,0,3,0,2,2,2,3,3,0,1,4,2,0,3,3,1,3,3,4,4,4,4,1,2,3,4,3,2,3,2,1
phuc_76.png,1,3,3,4,2,2,3,0,0,1,0,2,2,0,0,4,1,2,1,0,0,2,3,4,4,0,2,4,0,4,3
phuc_32.png,1,2,1,1,4,0,0,0,4,0,0,4,1,4,3,4,1,2,2,2,4,4,3,2,0,0,1,4,1,2,3
phuc_67.png,1,3,4,4,1,3,0,1,2,1,4,1,2,3,4,3,1,4,2,3,2,4,0,3,2,2,0,1,2,3,0
phuc_4.png,1,0,3,0,0,0,0,4,1,4,4,3,1,3,4,0,3,4,1,4,1,1,2,2,2,0,1,2,2,2,2
palo_24.png,2,2,0,0,1,2,1,1,1,1,3,0,1,4,2,3,2,4,0,4,1,4,1,2,4,1,0,2,2,2,1
phuc_65.png,1,1,0,1,2,0,0,2,3,2,2,1,1,0,4,0,0,4,1,3,0,3,0,1,2,2,2,3,4,1,0
palo_70.png,2,1,4,0,4,3,1,0,0,0,0,4,2,4,2,0,1,0,1,3,4,2,2,0,1,4,0,2,4,0,2
phuc_50.png,1,3,0,1,2,3,3,4,1,0,0,3,4,0,2,0,2,2,1,0,2,0,1,2,3,3,0,0,3,2,1
phuc_21.png,1,2,2,3,1,0,4,0,4,1,1,0,0,1,2,4,1,4,3,0,1,2,1,0,4,2,3,4,3,0,1
palo_39.png,2,2,1,3,2,0,3,4,4,3,2,1,1,0,2,2,3,3,2,4,0,2,4,1,0,1,3,3,0,1,4
phuc_46.png,1,4,1,4,3,3,3,1,2,1,1,1,1,0,2,3,0,1,4,0,0,3,2,4,2,2,4,1,4,4,2
palo_63.png,2,2,2,0,1,1,1,4,3,1,4,4,0,2,2,2,2,4,4,0,1,2,2,1,3,4,0,0,4,1,2
palo_66.png,2,1,1,0,3,1,4,3,0,0,0,3,0,2,4,4,2,2,2,1,1,0,3,4,4,3,3,3,4,4,3
palo_48.png,2,4,2,4,4,1,1,4,1,2,0,1,3,3,3,2,2,3,2,3,3,4,2,4,3,2,4,1,2,4,2
palo_33.png,2,0,3,0,1,1,2,4,1,4,3,0,2,4,3,4,0,2,2,1,4,1,1,4,1,0,2,2,0,4,1
phuc_41.png,1,2,4,2,0,4,1,0,1,2,3,1,3,2,2,0,2,0,4,2,1,1,3,3,1,1,3,4,3,3,3
phuc_34.png,1,1,1,2,4,3,0,2,2,1,4,2,1,2,4,1,3,3,1,0,1,4,4,2,2,3,0,2,1,2,4
phuc_78.png,1,0,4,3,0,3,2,1,0,3,0,4,3,1,1,1,2,0,3,1,2,1,0,1,1,1,3,2,1,1,0
hank_8.png,0,2,4,0,4,1,2,0,2,2,2,3,3,4,0,0,3,4,0,0,4,4,0,2,1,4,3,1,2,2,0
palo_12.png,2,1,0,1,4,1,4,0,0,2,3,3,0,4,4,0,3,0,3,2,3,1,1,0,0,1,1,2,1,0,1
palo_50.png,2,0,1,4,4,2,4,4,1,3,1,4,2,3,1,2,4,3,2,4,0,0,3,3,0,2,1,2,0,3,3
phuc_56.png,1,2,4,2,3,3,1,0,4,3,2,1,3,0,1,1,2,1,0,1,1,2,3,2,0,1,0,2,3,2,3
phuc_12.png,1,1,3,3,3,2,2,1,4,4,0,2,0,2,4,4,3,0,4,2,0,1,2,4,3,3,4,2,1,4,2
palo_25.png,2,0,3,3,3,2,3,2,0,2,3,4,4,4,0,2,4,0,4,2,3,4,4,1,3,0,1,2,0,1,4
hank_2.png,0,4,0,3,4,4,2,1,1,0,2,1,2,2,4,0,2,0,0,4,2,0,3,3,3,0,2,1,0,3,3
palo_76.png,2,1,3,2,0,2,2,2,2,0,3,1,4,4,1,3,3,4,1,1,4,0,0,0,2,1,3,4,3,0,0
palo_42.png,2,4,2,0,1,2,2,0,2,2,4,4,4,0,1,1,2,2,2,2,2,3,4,0,1,2,3,0,1,0,4
phuc_49.png,1,3,0,2,0,3,3,4,4,2,3,3,2,0,2,4,3,1,0,3,3,3,0,4,2,4,0,0,4,4,0
palo_22.png,2,2,0,3,1,1,0,4,3,3,2,2,2,2,1,4,1,3,3,0,3,3,1,2,4,2,0,1,4,2,1
palo_34.png,2,0,4,1,0,2,3,0,3,0,4,1,3,1,3,3,0,4,3,2,3,4,1,0,0,4,4,3,1,0,1
palo_14.png,2,3,1,0,3,2,1,4,0,4,0,0,1,2,2,2,3,0,4,1,2,1,2,1,4,4,2,4,3,1,2
phuc_20.png,1,3,2,0,1,0,1,3,3,2,1,1,4,3,4,3,1,2,1,3,4,3,3,4,0,4,4,0,4,4,3
phuc_45.png,1,2,1,1,0,3,4,0,2,1,2,4,1,1,2,1,2,0,3,2,2,0,3,2,0,2,4,2,0,2,3
palo_79.png,2,1,3,2,2,0,2,4,0,2,1,2,4,4,0,4,4,4,0,4,2,3,4,4,0,2,1,3,0,4,4
phuc_44.png,1,4,0,4,4,3,2,2,2,2,3,4,4,3,0,1,0,3,0,2,4,4,2,4,4,3,4,1,0,4,2
palo_44.png,2,1,2,1,3,3,2,1,2,3,3,3,2,2,2,2,0,2,3,4,4,3,3,2,0,2,3,1,3,2,3
phuc_73.png,1,1,4,3,2,0,0,3,4,3,3,2,3,4,4,1,1,3,3,4,3,1,3,4,0,2,1,1,1,4,3
palo_54.png,2,3,3,4,0,4,2,1,0,4,0,2,2,3,0,3,1,2,3,3,1,1,2,4,1,0,3,1,2,4,2
phuc_79.png,1,3,1,3,4,1,0,2,0,2,0,3,2,3,1,2,1,4,4,2,4,2,4,4,0,0,3,3,0,4,4
palo_57.png,2,2,1,0,1,4,1,0,1,4,3,2,2,4,1,3,4,4,4,1,0,3,1,0,4,2,1,0,4,0,1
palo_80.png,2,1,1,0,0,3,1,3,0,3,2,2,2,2,0,0,0,2,2,0,1,2,0,2,1,3,4,3,0,2,0
phuc_29.png,1,1,2,0,1,0,2,2,1,0,3,4,2,1,1,3,2,3,2,0,2,0,2,3,2,0,0,1,3,3,2
phuc_75.png,1,0,4,1,3,1,1,2,2,2,0,1,4,3,2,4,3,2,3,2,2,2,1,0,2,1,3,1,0,0,1
phuc_30.png,1,0,1,0,3,1,1,4,4,4,0,0,2,4,1,2,1,3,4,4,2,2,1,2,3,0,3,1,4,2,1
palo_27.png,2,2,4,1,1,2,0,4,0,4,4,1,4,1,3,1,1,3,1,2,1,3,0,4,3,0,3,4,4,4,0
hank_20.png,0,3,0,2,3,1,4,4,4,4,1,0,1,1,2,0,1,3,2,1,3,1,4,1,3,2,4,1,2,1,4
phuc_63.png,1,4,2,1,0,1,1,0,4,2,1,3,1,2,0,0,1,4,2,3,4,0,0,0,2,2,4,1,4,0,0
hank_18.png,0,4,3,4,3,4,4,0,4,1,4,2,3,4,4,4,1,4,0,2,4,2,4,2,4,2,2,2,1,2,4
palo_53.png,2,1,0,1,2,2,1,1,1,3,4,0,1,0,3,0,2,4,2,2,0,1,0,0,0,0,1,1,3,0,0
phuc_61.png,1,0,0,0,0,4,2,4,4,4,3,1,1,1,3,2,0,1,1,3,3,4,1,3,1,0,2,0,2,3,1
phuc_54.png,1,4,0,1,4,4,0,1,1,4,0,0,3,4,4,1,3,3,1,4,3,4,1,1,3,1,4,4,3,1,1
phuc_10.png,1,2,4,0,3,3,0,3,0,1,2,0,0,1,4,0,0,1,2,1,4,0,0,3,1,1,2,0,2,3,0
palo_62.png,2,0,4,2,4,3,4,1,0,4,4,0,4,1,3,2,3,4,3,3,0,4,2,3,3,0,0,0,2,3,2
hank_10.png,0,4,2,1,4,4,2,4,3,0,2,1,0,0,3,2,0,1,1,2,0,3,1,1,1,0,2,0,3,1,1
palo_3.png,2,1,4,0,0,1,4,1,3,4,1,4,1,0,1,3,2,1,4,4,3,0,3,4,2,0,3,3,2,4,3
palo_75.png,2,4,4,2,0,4,0,2,3,2,1,1,1,1,2,0,4,0,1,1,4,1,1,3,0,1,3,3,0,3,1
palo_5.png,2,2,2,4,2,3,0,1,3,4,3,0,2,4,1,4,2,0,0,3,2,2,1,3,0,1,4,0,0,3,1
palo_49.png,2,4,2,2,4,3,3,3,3,4,4,4,1,1,4,1,0,4,1,4,1,0,1,2,2,0,0,4,3,2,1
hank_15.png,0,1,3,2,2,2,4,1,4,3,4,1,0,2,0,1,0,1,3,3,1,2,4,0,0,1,3,4,0,0,4
palo_78.png,2,3,3,4,4,3,2,2,4,0,0,0,4,0,4,3,3,4,1,3,4,2,3,0,1,3,1,3,1,0,3
phuc_43.png,1,0,0,4,4,4,2,1,0,0,4,0,0,0,3,3,1,0,1,1,2,1,0,2,4,2,3,3,1,2,0
phuc_57.png,1,4,0,3,1,0,1,4,2,1,4,1,3,3,3,2,1,2,4,3,2,4,3,2,0,4,4,0,1,2,3
phuc_55.png,1,2,3,3,2,1,2,0,3,3,3,0,3,1,1,4,1,4,1,0,2,2,2,4,0,3,4,4,0,4,2
hank_13.png,0,4,0,1,1,3,0,4,3,2,4,0,3,4,1,0,0,4,1,3,0,3,0,1,1,0,3,4,2,1,0
hank_3.png,0,3,3,2,2,2,1,4,1,3,4,0,0,1,1,3,4,1,4,3,0,2,0,3,2,2,0,3,2,3,0
palo_36.png,2,0,1,4,2,4,1,3,3,1,0,3,3,3,0,3,2,3,4,1,3,0,1,4,3,4,4,0,1,4,1
phuc_80.png,1,3,3,3,1,1,0,0,2,2,1,1,2,2,3,2,4,0,3,4,3,4,0,4,4,1,3,4,1,4,0
phuc_68.png,1,2,2,2,0,1,3,3,3,0,2,4,0,3,2,4,3,3,0,4,2,3,1,3,0,0,1,2,0,3,1
palo_56.png,2,3,4,1,2,2,2,4,3,3,4,1,0,4,0,1,2,3,0,3,4,3,3,3,3,1,4,4,0,3,3
palo_58.png,2,0,4,0,4,4,2,1,3,1,3,4,1,1,2,1,3,0,3,0,0,2,4,1,1,2,1,4,3,1,4
palo_16.png,2,1,4,0,2,3,1,0,3,0,1,2,3,3,1,4,3,4,4,3,3,4,1,0,4,3,4,4,1,0,1
palo_9.png,2,0,3,1,3,4,3,1,2,0,3,0,3,4,3,0,1,2,1,2,2,4,3,0,3,4,1,4,0,0,3
palo_64.png,2,4,2,1,2,3,4,0,1,0,4,0,0,4,2,0,2,3,2,1,2,0,4,4,0,4,0,0,4,4,4
hank_6.png,0,0,3,0,0,3,2,0,3,4,2,1,3,1,0,2,0,1,1,2,2,1,3,0,4,0,2,4,3,0,3
phuc_2.png,1,2,0,2,4,4,2,2,2,4,4,0,1,0,2,1,0,3,0,2,3,4,4,1,4,1,0,2,4,1,4
phuc_7.png,1,1,0,4,4,1,2,3,4,4,3,3,2,3,3,3,0,4,2,4,0,1,3,0,3,4,4,4,1,0,3
palo_52.png,2,3,3,0,3,0,4,2,4,3,2,3,0,3,0,0,4,0,4,1,0,0,0,1,0,3,4,2,4,1,0
palo_77.png,2,4,0,0,3,1,1,0,0,3,1,1,4,2,4,0,0,0,1,0,4,4,2,2,4,4,0,2,3,2,2
hank_11.png,0,0,3,4,1,0,3,3,0,1,0,4,1,2,3,1,1,3,3,2,3,2,0,1,3,2,1,3,4,1,0
phuc_47.png,1,1,0,0,1,2,3,3,4,0,2,0,4,3,3,1,4,2,2,0,3,3,2,2,1,4,1,2,0,2,2
phuc_59.png,1,0,3,2,4,3,3,2,0,0,0,2,4,4,4,3,3,2,4,0,0,4,4,0,1,1,2,3,4,0,4
palo_71.png,2,4,1,1,3,2,2,4,2,1,0,4,4,1,3,0,2,2,0,1,0,2,4,1,3,3,3,1,2,1,4
palo_35.png,2,2,4,3,2,3,4,0,2,0,4,0,3,3,1,0,2,0,3,3,0,0,3,1,1,0,1,1,3,1,3
palo_40.png,2,2,2,3,4,0,3,0,0,1,1,4,0,3,0,3,1,2,2,3,0,0,3,4,3,2,1,1,3,4,3
palo_85.png,2,0,1,2,1,1,1,3,4,1,3,2,4,3,2,1,2,4,4,3,2,0,2,4,3,1,4,2,1,4,2
palo_43.png,2,2,4,1,0,1,3,3,4,2,2,1,1,1,3,1,4,2,1,4,2,3,0,3,4,0,1,4,4,3,0
hank_9.png,0,4,4,3,0,1,0,2,3,2,0,3,0,2,4,0,2,1,2,4,4,0,1,0,3,1,3,4,4,0,1
palo_1.png,2,2,4,1,4,4,3,4,4,4,0,3,0,1,3,2,2,4,1,4,0,4,0,2,2,1,2,3,4,2,0
palo_2.png,2,4,2,3,4,3,3,3,2,4,3,3,4,1,3,4,4,0,0,4,0,4,1,3,1,2,1,1,1,3,1
phuc_23.png,1,4,1,0,1,2,0,1,1,4,3,3,4,2,0,0,3,2,2,3,0,0,4,3,1,4,2,3,4,3,4
phuc_5.png,1,2,1,2,4,2,4,1,2,3,1,4,3,3,1,3,1,4,4,0,4,2,1,2,0,2,0,1,2,2,1
phuc_8.png,1,1,2,3,2,4,1,1,2,4,4,1,1,1,1,1,0,4,1,1,1,0,4,3,4,3,4,2,0,3,4
hank_22.png,0,2,3,4,3,4,0,3,1,3,4,2,0,4,1,2,4,4,2,2,2,1,0,3,3,3,3,0,3,3,0
phuc_82.png,1,4,4,2,2,1,1,3,1,3,2,0,4,0,0,0,1,0,2,1,4,1,3,3,4,2,0,3,0,3,3
palo_32.png,2,3,0,1,3,0,3,4,0,0,1,0,2,3,0,1,3,3,0,3,3,0,4,1,4,0,0,3,2,1,4
phuc_70.png,1,0,1,0,3,2,1,4,2,3,0,3,1,4,0,2,3,2,3,0,3,3,3,1,3,2,1,0,1,1,3
phuc_52.png,1,4,3,4,0,0,1,0,1,0,1,2,4,2,2,0,1,2,2,4,1,0,0,0,2,2,4,1,1,0,0
palo_13.png,2,2,3,1,3,1,0,3,3,0,1,2,4,1,2,1,0,4,4,1,2,0,3,4,1,3,4,2,0,4,3
palo_28.png,2,0,1,2,3,0,1,3,1,4,2,2,2,1,0,1,0,1,0,2,1,3,1,1,2,3,4,2,4,1,1
palo_82.png,2,0,3,2,4,0,3,2,3,2,4,4,1,3,4,4,4,1,1,1,1,2,2,4,1,2,2,4,4,4,2
phuc_74.png,1,2,2,1,1,1,0,3,0,1,2,3,3,1,0,3,0,3,4,0,4,1,4,2,0,3,0,1,4,2,4
phuc_58.png,1,4,0,3,3,1,3,0,1,1,3,1,1,0,4,1,3,2,1,3,3,4,1,0,1,4,4,0,1,0,1
palo_6.png,2,4,2,2,0,0,4,2,1,1,2,0,1,3,3,4,4,0,0,0,3,2,0,4,2,0,3,2,4,4,0
palo_84.png,2,1,3,2,0,2,2,1,3,1,0,4,3,1,1,4,3,0,3,3,2,0,0,3,2,3,1,0,1,3,0
palo_46.png,2,4,4,1,1,0,1,3,0,1,2,0,2,0,0,1,2,0,1,1,3,0,3,4,3,4,0,0,0,4,3
phuc_14.png,1,1,3,0,0,2,3,3,3,2,2,3,1,2,4,0,2,4,3,1,1,4,0,1,4,1,2,2,4,1,0
phuc_1.png,1,1,4,3,3,0,2,3,4,0,3,0,1,1,4,4,0,0,3,1,0,3,1,4,0,2,1,2,0,4,1
phuc_28.png,1,2,2,1,3,1,3,2,2,3,0,3,0,3,0,2,4,2,1,3,0,1,3,1,2,2,2,4,1,1,3
hank_5.png,0,0,1,3,2,2,4,4,2,3,1,4,0,2,2,1,0,0,1,4,0,2,4,1,2,4,0,3,0,1,4
phuc_86.png,1,0,1,4,2,3,0,0,2,4,3,4,0,4,4,3,2,4,0,0,2,1,2,1,4,0,2,0,4,1,2
phuc_6.png,1,1,2,4,1,1,4,1,2,0,1,1,1,4,1,2,4,3,0,1,2,0,3,2,0,0,2,2,0,2,3
palo_41.png,2,1,2,0,2,0,4,3,3,3,1,0,2,2,3,1,3,1,2,2,3,4,2,2,4,1,3,1,2,2,2
palo_74.png,2,0,2,4,3,1,2,0,4,0,0,3,0,0,0,2,3,1,3,4,1,0,2,0,3,0,3,3,4,0,2
phuc_15.png,1,3,0,0,0,0,3,1,2,1,1,0,2,4,0,4,3,1,3,2,4,2,4,1,4,4,0,1,3,1,4
phuc_64.png,1,4,1,3,3,1,0,2,1,3,0,2,4,0,2,2,1,2,2,4,2,1,0,1,0,4,1,3,2,1,0
palo_8.png,2,4,3,4,1,3,0,1,4,3,4,1,0,3,0,0,3,2,4,1,3,0,4,2,0,3,0,2,0,2,4
palo_18.png,2,2,0,3,3,2,4,0,3,2,1,2,0,4,1,2,4,1,2,0,1,0,4,3,3,2,2,0,3,3,4
palo_60.png,2,1,3,3,4,1,4,0,2,2,4,3,2,0,1,0,4,2,3,2,3,3,2,2,4,3,4,1,0,2,2
palo_4.png,2,0,4,2,2,3,2,0,4,0,3,4,2,0,1,0,4,1,4,0,1,4,2,0,1,1,2,1,3,0,2
palo_59.png,2,1,1,4,4,3,3,0,1,4,4,3,2,0,1,2,2,3,2,3,2,3,2,1,0,4,3,4,2,1,2
phuc_66.png,1,3,3,4,2,4,0,0,1,2,0,1,0,4,3,1,1,4,2,0,4,3,0,2,3,0,1,2,2,2,0
phuc_26.png,1,2,0,3,1,0,0,0,3,0,2,0,3,2,1,2,4,2,3,0,2,3,3,4,2,4,0,3,2,4,3
phuc_27.png,1,1,1,4,0,4,1,4,0,4,3,0,3,2,0,3,0,1,1,1,0,2,4,0,1,1,2,3,4,0,4
